event_time,beta,se,half_life_months,n
-5,-0.02837569248452708,0.009159143976848428,24.079262006718764,231
-4,-0.01574076225333544,0.009338796593010812,43.6876824248071,231
-3,-0.0277458809118477,0.01242573471241182,24.63378610564401,231
-2,0.007823223478701893,0.016470720976340763,,231
-1,-0.01096900059253519,0.021092774246790152,62.84425099146007,231
0,-0.0342236532973444,0.023539120002821903,19.904868784538753,231
1,-0.050469732505505474,0.01980011214629165,13.38435341319689,231
2,-0.01634673546500707,0.014677991209139912,42.0552637416363,231
3,-0.01985802813440606,0.012320798480118094,34.557404225358965,231
4,-0.015541987068384234,0.011551487156522962,44.25088459415702,231
5,-0.0011008201902359992,0.01348174212331454,629.3176682839098,231
6,0.00038734915756922096,0.010687393620170045,,231
