event_time,n_obs,beta_hc1,se_hc1,beta_cluster,se_cluster,beta_hac,se_hac
-6,0,,,,,,
-5,231,-0.02837569248452701,0.009159143976848434,-0.02837569248452701,0.009393084572847115,-0.02837569248452701,0.009276917862871447
-4,231,-0.015740762253335348,0.009338796593010826,-0.015740762253335348,0.0090238619936268,-0.015740762253335348,0.009188753869170731
-3,231,-0.027745880911847792,0.012425734712411816,-0.027745880911847792,0.009476510657939637,-0.027745880911847792,0.01162172048426552
-2,231,0.007823223478701912,0.01647072097634078,0.007823223478701912,0.009841584410933534,0.007823223478701912,0.013933725317253934
-1,231,-0.0109690005925352,0.021092774246790177,-0.0109690005925352,0.016697605969158057,-0.0109690005925352,0.019629556433787818
0,231,-0.034223653297344364,0.023539120002821916,-0.034223653297344364,0.020261686159663832,-0.034223653297344364,0.021675803433224308
1,231,-0.0504697325055055,0.019800112146291675,-0.0504697325055055,0.02241610505194558,-0.0504697325055055,0.020116947170312306
2,231,-0.01634673546500702,0.014677991209139919,-0.01634673546500702,0.014110253919346036,-0.01634673546500702,0.013800675894787612
3,231,-0.019858028134406087,0.012320798480118115,-0.019858028134406087,0.009976546620400152,-0.019858028134406087,0.011003373312744046
4,231,-0.015541987068384288,0.011551487156522955,-0.015541987068384288,0.008797984843036935,-0.015541987068384288,0.01222678075101671
5,231,-0.0011008201902359535,0.01348174212331456,-0.0011008201902359535,0.013285998748128754,-0.0011008201902359535,0.01415780750345823
6,231,0.0003873491575692409,0.010687393620170056,0.0003873491575692409,0.008317786447178467,0.0003873491575692409,0.009798315106398933
